method,usage,description,application,inventor,grouping,mesocosm,,,,
seafloor,surface estimation,"coverage was estimated using the weight percent of corallines present in the dredge samples. the mean thallus radius, based on 1252 specimens, was taken to calculate the mean circle area of an individual thallus. The number of thalli per m2 was then calculated based on the assumption of a 100% surface cover by corallines",laboratory,Schäfer et al. 2011,2+3,dead,,,,
production rate,Special,"carbonate production rates of corallines were calculated for the total surface area of the Gulfs of Panama and Chiriquı´, respectively, by multiplying the production rate in the area covered by corallines divided by the total shelf area of each gulf above 50 m and 100 m water depth, respectively",laboratory,Schäfer et al. 2011,3+4,,,,,
initial,calcification rate,"Calcification was estimated by assuming that the removal of one equivalent Ci by calcification caused a change of two equivalents TA. Thereafter, the TC content was calculated from the initial pH and TA",laboratory,Semesi et al. 2009,3,,,,,
calcus,calcification rate,"Calcification rate was then calculated according to: G net = 2 DELTA M CaCO3 / τ (Si + Sf), where τ is the number of days between buoyant weight measurements,
and Si and Sf are the initial and final bioactive surface area of the chip.",both,,3,,,,,
artificial substrate,calcification rate,"growth on artificial substrates planted in various positions on the reef over several months' time. The artificial substrates consisted of blocks of concrete in which variously oriented pieces of smooth and roughened glass, plastic, clay brick, wood, and coral skeleton were set. the weight of algal encrustation could easily be calculated by weighing the dried algal-encrusted substrate before and after treatment in dilute acid. As it was likely that some algae initially colonised the substrates some time after implantation, the largest colonies were the ones used in the calculations.",field,Stearn et al. 1977,1+3,alive,,,,
transect counts,surface estimation,transect counts on the reef the crustose coralline algae cover was determined,field,Stearn et al. 1977,4,,,,,
calculated,calcification rate,The weight of calcium carbonate (dry weight-3 per cent organic matter) equivalent to the measured annual growth increments is obtained from a least squares regression analysis and gives an annual carbonate production rate,laboratory,Bosence 1980,2+3,,,,,
thickness,calcification rate,measuring the thickness of presumed annual bands preserved within branches,laboratory,Bosence and Wilson 2003,4,dead,,,,
total alkalinity,calcification rate,"Total alkalinity is determined by a titration method, where a water sample is titrated with a standard acid to a specific pH endpoint; done at the beginning and end or specific times during experiment",laboratory,,1,alive,,,,
alkalinity anomaly technique,carbonate production,Determine total alkalinity;Total alkalinity changes by a factor of two for every mole of CaCO3 precipitated or dissolved; needs two timepoints of different TA,laboratory,,2+3,both,,,,
